Ticket,Weight
350404,1
350060,1
350052,1
350050,1
350048,1
350047,1
350046,1
350043,1
350042,1
364851,1
365222,1
365226,1
370369,1
374746,1
373450,1
372622,1
371362,1
A/5. 851,1
113796,1
371060,1
370377,1
370376,1
370375,1
370373,1
370372,1
370371,1
370370,1
113800,1
36568,1
36967,1
36963,1
113804,1
368703,1
36866,1
36865,1
36864,1
368323,1
367655,1
367232,1
367231,1
113807,1
367229,1
367228,1
A/5. 3337,1
C 7077,1
A/S 2816,1
SO/C 14885,1
SC/PARIS 2146,1
SC/PARIS 2149,1
SC/PARIS 2167,1
111240,1
SC/Paris 2163,1
SCO/W 1585,1
SOTON/O.Q. 3101305,1
112050,1
SOTON/O.Q. 3101306,1
SOTON/O.Q. 3101307,1
SOTON/O.Q. 3101310,1
SOTON/O.Q. 3101311,1
SOTON/O.Q. 3101312,1
SOTON/O.Q. 392078,1
SC/PARIS 2133,1
SC/PARIS 2131,1
SC/AH Basle 541,1
SC/AH 3085,1
SC/AH 29037,1
SC 1748,1
S.W./PP 752,1
S.P. 3464,1
S.O.P. 1166,1
111320,1
S.O./P.P. 751,1
111369,1
S.C./A.4. 23567,1
111426,1
PP 4348,1
111427,1
111428,1
SOTON/O.Q. 392087,1
SOTON/O2 3101272,1
SOTON/O2 3101287,1
STON/O 2. 3101292,1
W/C 14208,1
W.E.P. 5734,1
W./C. 6609,1
110564,1
W./C. 14263,1
W./C. 14258,1
SW/PP 751,1
STON/O2. 3101290,1
STON/O2. 3101283,1
STON/O2. 3101282,1
110813,1
STON/O2. 3101271,1
STON/O 2. 3101294,1
STON/O 2. 3101293,1
STON/O 2. 3101289,1
SOTON/OQ 3101316,1
STON/O 2. 3101288,1
STON/O 2. 3101286,1
STON/O 2. 3101285,1
STON/O 2. 3101280,1
STON/O 2. 3101275,1
STON/O 2. 3101274,1
STON/O 2. 3101273,1
STON/O 2. 3101269,1
SOTON/OQ 392090,1
SOTON/OQ 392089,1
SOTON/OQ 392086,1
SOTON/OQ 392082,1
SOTON/OQ 392076,1
SOTON/OQ 3101317,1
PC 17759,1
112052,1
A4. 54510,1
113509,1
C.A. 34260,1
113514,1
113510,1
C.A. 5547,1
C.A. 6212,1
C.A./SOTON 34068,1
CA. 2314,1
PC 17756,1
F.C. 12750,1
F.C.C. 13528,1
113503,1
F.C.C. 13531,1
Fa 265302,1
113501,1
C.A. 33595,1
C.A. 33111,1
113767,1
C.A. 31026,1
C.A. 29566,1
C.A. 29395,1
C.A. 29178,1
113773,1
C.A. 24580,1
C.A. 24579,1
C.A. 18723,1
C.A. 17248,1
350035,1
C 7076,1
C 7075,1
C 4001,1
C 17369,1
113059,1
PC 17318,1
PC 17473,1
PC 17596,1
112053,1
PC 17754,1
PC 17612,1
112058,1
PC 17610,1
PC 17609,1
112059,1
PC 17605,1
112277,1
PC 17603,1
PC 17601,1
PC 17600,1
PC 17599,1
PC 17597,1
PC 17595,1
PC 17474,1
112379,1
PC 17592,1
PC 17590,1
PC 17585,1
113028,1
113043,1
113050,1
113051,1
113055,1
PC 17483,1
PC 17482,1
113056,1
PC 17476,1
PC 17475,1
350036,1
349910,1
350034,1
2695,1
2686,1
2687,1
2689,1
2690,1
2693,1
2694,1
2697,1
28213,1
14973,1
2700,1
27042,1
27267,1
27849,1
28134,1
2685,1
2683,1
2680,1
16988,1
2677,1
2674,1
2672,1
2671,1
26707,1
2669,1
2667,1
17463,1
17464,1
2664,1
2663,1
2662,1
17465,1
28206,1
28220,1
17764,1
13509,1
3101265,1
3101267,1
3101276,1
3101277,1
13567,1
3101281,1
3101296,1
28228,1
3101298,1
31028,1
312991,1
312992,1
312993,1
31418,1
3101264,1
29751,1
13568,1
2926,1
29108,1
14311,1
29105,1
29104,1
29103,1
14312,1
29011,1
28665,1
28664,1
28551,1
28425,1
28424,1
14313,1
17466,1
2650,1
315082,1
239855,1
237668,1
237671,1
237789,1
237798,1
220367,1
239854,1
239856,1
244278,1
219533,1
240929,1
218629,1
21440,1
243880,1
211536,1
237565,1
237442,1
236853,1
236852,1
236171,1
234818,1
234686,1
234604,1
234360,1
233866,1
233639,1
231945,1
2223,1
230434,1
223596,1
226593,1
226875,1
244270,1
244310,1
2649,1
2625,1
250651,1
250652,1
250653,1
2620,1
2623,1
2624,1
2626,1
244358,1
2628,1
2629,1
2631,1
2641,1
2647,1
2648,1
19947,1
250648,1
19952,1
250646,1
19972,1
250643,1
248747,1
248740,1
19988,1
248733,1
248731,1
248723,1
248706,1
248698,1
244373,1
2003,1
244361,1
315037,1
315084,1
350029,1
349210,1
349204,1
349205,1
349206,1
349207,1
349208,1
349209,1
349212,1
349221,1
349213,1
349214,1
349215,1
349216,1
349217,1
349218,1
349203,1
349201,1
348124,1
348123,1
348121,1
347743,1
11774,1
347470,1
347468,1
347466,1
11813,1
3474,1
347089,1
347087,1
347085,1
347083,1
12233,1
349219,1
349222,1
12460,1
349254,1
349247,1
349248,1
349249,1
349251,1
349252,1
349253,1
349256,1
349223,1
349257,1
11769,1
229236,1
349912,1
350025,1
350026,1
349246,1
349245,1
349244,1
349243,1
349242,1
349241,1
349240,1
349239,1
11771,1
349236,1
349234,1
349233,1
349231,1
349228,1
349227,1
349225,1
349224,1
347081,1
347078,1
315086,1
330980,1
330931,1
330932,1
330935,1
330958,1
330959,1
330979,1
334912,1
342826,1
335097,1
335677,1
33638,1
336439,1
3411,1
341826,1
330923,1
330919,1
330909,1
330877,1
324669,1
323951,1
323592,1
315153,1
315151,1
315098,1
315097,1
315096,1
315094,1
315093,1
315090,1
315089,1
315088,1
34218,1
343095,1
347076,1
347063,1
345783,1
3460,1
13049,1
347060,1
347061,1
347062,1
347064,1
343120,1
347067,1
347068,1
347069,1
347071,1
347073,1
347074,1
345781,1
345780,1
345779,1
345778,1
345777,1
345774,1
13213,1
345770,1
345769,1
345767,1
345765,1
13214,1
345763,1
345572,1
345364,1
343276,1
343275,1
347464,1
